item_index	word	batch_dec_width	rank	target_phonemes	length	zipf_approx	is_word	gate	effective_ventral_weight	effective_dorsal_weight	lexical_confidence	lexical_margin	lexical_density	canonical_full_exact	canonical_full_predicted	canonical_wm_exact	canonical_wm_predicted	canonical_ltm_exact	canonical_ltm_predicted	canonical_fixed05_exact	canonical_fixed05_predicted	freear_full_exact	freear_full_predicted	freear_wm_exact	freear_wm_predicted	freear_ltm_exact	freear_ltm_predicted	freear_fixed05_exact	freear_fixed05_predicted	competence_category	competence_category_freear
0	the	10	1	DH AH	2	1.0	1	0.5568470358848572	0.5568470358848572	0.4431529641151428	0.8141878247261047	0.11536198854446411	13.562021255493164	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	BOTH_CORRECT	BOTH_CORRECT
1	of	10	2	AH V	2	0.5	1	0.5469593405723572	0.5469593405723572	0.4530406594276428	0.7941962480545044	0.08509290218353271	11.547972679138184	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	BOTH_CORRECT	BOTH_CORRECT
2	and	10	3	AH N D	3	0.333333	1	0.5349701642990112	0.5349701642990112	0.46502983570098877	0.7700546383857727	0.09086894989013672	26.91553497314453	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	BOTH_CORRECT	BOTH_CORRECT
3	to	10	4	T UW	2	0.25	1	0.5708074569702148	0.5708074569702148	0.42919254302978516	0.8425731658935547	0.04688823223114014	27.433364868164062	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	BOTH_CORRECT	BOTH_CORRECT
4	in	10	5	IH N	2	0.2	1	0.5209788084030151	0.5209788084030151	0.47902119159698486	0.7419822812080383	0.007619261741638184	86.53054809570312	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	BOTH_CORRECT	BOTH_CORRECT
5	for	10	6	F AO R	3	0.166667	1	0.5289792418479919	0.5289792418479919	0.47102075815200806	0.7580235600471497	0.0030840635299682617	73.86695098876953	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	BOTH_CORRECT	BOTH_CORRECT
6	is	10	7	IH Z	2	0.142857	1	0.5390588045120239	0.5390588045120239	0.4609411954879761	0.7782770395278931	0.08290565013885498	22.19061851501465	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	BOTH_CORRECT	BOTH_CORRECT
7	on	10	8	AA N	2	0.125	1	0.5130642652511597	0.5130642652511597	0.48693573474884033	0.7261344194412231	0.007883965969085693	77.39039611816406	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	BOTH_CORRECT	BOTH_CORRECT
8	that	10	9	DH AE T	3	0.111111	1	0.588322639465332	0.588322639465332	0.41167736053466797	0.8785178065299988	0.10560023784637451	13.181339263916016	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	BOTH_CORRECT	BOTH_CORRECT
9	by	10	10	B AY	2	0.1	1	0.49434876441955566	0.49434876441955566	0.5056512355804443	0.688697099685669	0.058544814586639404	41.35437774658203	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	BOTH_CORRECT	BOTH_CORRECT
10	this	10	11	DH IH S	3	0.090909	1	0.5873605608940125	0.5873605608940125	0.41263943910598755	0.8765323758125305	0.12124162912368774	10.719271659851074	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	BOTH_CORRECT	BOTH_CORRECT
11	with	10	12	W IH DH	3	0.083333	1	0.5628494024276733	0.5628494024276733	0.43715059757232666	0.8263671398162842	0.19415289163589478	4.190874099731445	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	BOTH_CORRECT	BOTH_CORRECT
12	you	10	13	Y UW	2	0.076923	1	0.5801302790641785	0.5801302790641785	0.41986972093582153	0.8616540431976318	0.11688733100891113	10.133146286010742	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	BOTH_CORRECT	BOTH_CORRECT
13	it	10	14	IH T	2	0.071429	1	0.5708457231521606	0.5708457231521606	0.42915427684783936	0.8426513075828552	0.03223305940628052	36.521053314208984	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	BOTH_CORRECT	BOTH_CORRECT
14	not	10	15	N AA T	3	0.066667	1	0.5857115983963013	0.5857115983963013	0.41428840160369873	0.8731324672698975	0.050793230533599854	22.078187942504883	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	BOTH_CORRECT	BOTH_CORRECT
15	or	10	16	AO R	2	0.0625	1	0.53255695104599	0.53255695104599	0.46744304895401	0.7652061581611633	0.14127004146575928	14.45692253112793	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	BOTH_CORRECT	BOTH_CORRECT
16	be	10	17	B IY	2	0.058824	1	0.5452437400817871	0.5452437400817871	0.4547562599182129	0.7907357215881348	0.01979970932006836	36.677276611328125	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	BOTH_CORRECT	BOTH_CORRECT
17	are	10	18	AA R	2	0.055556	1	0.49242109060287476	0.49242109060287476	0.5075789093971252	0.684840977191925	0.024327576160430908	86.2793960571289	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	BOTH_CORRECT	BOTH_CORRECT
18	from	10	19	F R AH M	4	0.052632	1	0.5327921509742737	0.5327921509742737	0.4672078490257263	0.7656785249710083	0.18662697076797485	7.52512264251709	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	BOTH_CORRECT	BOTH_CORRECT
19	at	10	20	AE T	2	0.05	1	0.5038203001022339	0.5038203001022339	0.4961796998977661	0.7076407670974731	0.1496872901916504	15.07274055480957	1	AE T	1	AE T	1	AE T	1	AE T	1	AE T	1	AE T	1	AE T	1	AE T	BOTH_CORRECT	BOTH_CORRECT
20	as	10	21	AE Z	2	0.047619	1	0.5458828806877136	0.5458828806877136	0.4541171193122864	0.7920246124267578	0.06675803661346436	30.97309112548828	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	BOTH_CORRECT	BOTH_CORRECT
21	your	10	22	Y AO R	3	0.045455	1	0.569115936756134	0.569115936756134	0.43088406324386597	0.839122474193573	0.11192137002944946	3.3870086669921875	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	BOTH_CORRECT	BOTH_CORRECT
22	all	10	23	AO L	2	0.043478	1	0.5617455244064331	0.5617455244064331	0.4382544755935669	0.8241245746612549	0.048770248889923096	33.09423828125	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	BOTH_CORRECT	BOTH_CORRECT
23	have	10	24	HH AE V	3	0.041667	1	0.582349419593811	0.582349419593811	0.41765058040618896	0.8662126660346985	0.08397603034973145	7.866022109985352	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	BOTH_CORRECT	BOTH_CORRECT
24	new	10	25	N UW	2	0.04	1	0.5428426861763	0.5428426861763	0.45715731382369995	0.7858960032463074	0.17611181735992432	7.903221130371094	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	BOTH_CORRECT	BOTH_CORRECT
25	more	10	26	M AO R	3	0.038462	1	0.569580614566803	0.569580614566803	0.430419385433197	0.8400700688362122	0.05492502450942993	19.60019302368164	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	BOTH_CORRECT	BOTH_CORRECT
26	an	10	27	AE N	2	0.037037	1	0.5496822595596313	0.5496822595596313	0.45031774044036865	0.7996934652328491	0.2631193995475769	2.781751871109009	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	BOTH_CORRECT	BOTH_CORRECT
27	was	10	28	W AA Z	3	0.035714	1	0.5569544434547424	0.5569544434547424	0.44304555654525757	0.8144053220748901	0.13577240705490112	6.683434009552002	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	BOTH_CORRECT	BOTH_CORRECT
28	we	10	29	W IY	2	0.034483	1	0.5728477835655212	0.5728477835655212	0.42715221643447876	0.8467397689819336	0.11055982112884521	18.249160766601562	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	BOTH_CORRECT	BOTH_CORRECT
29	will	10	30	W IH L	3	0.033333	1	0.5668551921844482	0.5668551921844482	0.43314480781555176	0.8345159292221069	0.11416268348693848	9.496740341186523	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	BOTH_CORRECT	BOTH_CORRECT
30	home	10	31	HH OW M	3	0.032258	1	0.5454864501953125	0.5454864501953125	0.4545135498046875	0.7912250757217407	0.22239047288894653	2.7091033458709717	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	BOTH_CORRECT	BOTH_CORRECT
31	can	10	32	K AE N	3	0.03125	1	0.5500731468200684	0.5500731468200684	0.44992685317993164	0.8004831671714783	0.04905468225479126	36.937198638916016	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	BOTH_CORRECT	BOTH_CORRECT
32	us	10	33	AH S	2	0.030303	1	0.5278027653694153	0.5278027653694153	0.4721972346305847	0.7556629776954651	0.1910945177078247	11.381307601928711	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	BOTH_CORRECT	BOTH_CORRECT
33	about	10	34	AH B AW T	4	0.029412	1	0.5673280358314514	0.5673280358314514	0.4326719641685486	0.8354789614677429	0.15325385332107544	5.111698150634766	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	BOTH_CORRECT	BOTH_CORRECT
34	if	10	35	IH F	2	0.028571	1	0.5876836776733398	0.5876836776733398	0.41231632232666016	0.8771989941596985	0.05356287956237793	21.215049743652344	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	BOTH_CORRECT	BOTH_CORRECT
35	page	10	36	P EY JH	3	0.027778	1	0.5729873180389404	0.5729873180389404	0.42701268196105957	0.8470249772071838	0.11536222696304321	1.8106589317321777	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	BOTH_CORRECT	BOTH_CORRECT
36	my	10	37	M AY	2	0.027027	1	0.5462105870246887	0.5462105870246887	0.4537894129753113	0.7926856875419617	0.0672033429145813	10.816875457763672	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	BOTH_CORRECT	BOTH_CORRECT
37	has	10	38	HH AE Z	3	0.026316	1	0.5615863800048828	0.5615863800048828	0.4384136199951172	0.8238013982772827	0.06787627935409546	10.267651557922363	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	BOTH_CORRECT	BOTH_CORRECT
38	search	10	39	S ER CH	3	0.025641	1	0.581070065498352	0.581070065498352	0.41892993450164795	0.8635838031768799	0.12047505378723145	1.638058066368103	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	BOTH_CORRECT	BOTH_CORRECT
39	free	10	40	F R IY	3	0.025	1	0.515432596206665	0.515432596206665	0.48456740379333496	0.7308750152587891	0.2632681131362915	4.179562568664551	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	BOTH_CORRECT	BOTH_CORRECT
40	but	10	41	B AH T	3	0.02439	1	0.5838768482208252	0.5838768482208252	0.4161231517791748	0.8693543672561646	0.051883041858673096	27.130226135253906	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	BOTH_CORRECT	BOTH_CORRECT
41	our	10	42	AW ER	2	0.02381	1	0.5386775732040405	0.5386775732040405	0.4613224267959595	0.7775099873542786	0.06854110956192017	26.606613159179688	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	BOTH_CORRECT	BOTH_CORRECT
