item_index	word	batch_dec_width	rank	target_phonemes	length	zipf_approx	is_word	gate	effective_ventral_weight	effective_dorsal_weight	lexical_confidence	lexical_margin	lexical_density	canonical_full_exact	canonical_full_predicted	canonical_wm_exact	canonical_wm_predicted	canonical_ltm_exact	canonical_ltm_predicted	canonical_fixed05_exact	canonical_fixed05_predicted	freear_full_exact	freear_full_predicted	freear_wm_exact	freear_wm_predicted	freear_ltm_exact	freear_ltm_predicted	freear_fixed05_exact	freear_fixed05_predicted	competence_category	competence_category_freear
0	the	10	1	DH AH	2	1.0	1	0.5575122237205505	0.5575122237205505	0.44248777627944946	0.815535843372345	0.07445734739303589	20.736806869506836	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	BOTH_CORRECT	BOTH_CORRECT
1	of	10	2	AH V	2	0.5	1	0.5377694964408875	0.5377694964408875	0.46223050355911255	0.7756831645965576	0.09857767820358276	19.50885772705078	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	BOTH_CORRECT	BOTH_CORRECT
2	and	10	3	AH N D	3	0.333333	1	0.5554680824279785	0.5554680824279785	0.4445319175720215	0.8113946914672852	0.07407963275909424	12.218564987182617	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	BOTH_CORRECT	BOTH_CORRECT
3	to	10	4	T UW	2	0.25	1	0.5874015688896179	0.5874015688896179	0.4125984311103821	0.8766169548034668	0.10024774074554443	13.013833045959473	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	BOTH_CORRECT	BOTH_CORRECT
4	in	10	5	IH N	2	0.2	1	0.498274564743042	0.498274564743042	0.501725435256958	0.6965491771697998	0.013921797275543213	92.33820343017578	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	BOTH_CORRECT	BOTH_CORRECT
5	for	10	6	F AO R	3	0.166667	1	0.5233878493309021	0.5233878493309021	0.4766121506690979	0.7468098998069763	0.0007366538047790527	94.52590942382812	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	BOTH_CORRECT	BOTH_CORRECT
6	is	10	7	IH Z	2	0.142857	1	0.5284644961357117	0.5284644961357117	0.47153550386428833	0.7569906711578369	0.032052457332611084	29.548507690429688	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	BOTH_CORRECT	BOTH_CORRECT
7	on	10	8	AA N	2	0.125	1	0.5179666876792908	0.5179666876792908	0.48203331232070923	0.7359488010406494	0.08073556423187256	34.964202880859375	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	BOTH_CORRECT	BOTH_CORRECT
8	that	10	9	DH AE T	3	0.111111	1	0.5822596549987793	0.5822596549987793	0.4177403450012207	0.8660281896591187	0.06504964828491211	21.688472747802734	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	BOTH_CORRECT	BOTH_CORRECT
9	by	10	10	B AY	2	0.1	1	0.47658365964889526	0.47658365964889526	0.5234163403511047	0.6531329154968262	0.0034761428833007812	140.78225708007812	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	BOTH_CORRECT	BOTH_CORRECT
10	this	10	11	DH IH S	3	0.090909	1	0.5916523337364197	0.5916523337364197	0.4083476662635803	0.8854001760482788	0.11334896087646484	11.215996742248535	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	BOTH_CORRECT	BOTH_CORRECT
11	with	10	12	W IH DH	3	0.083333	1	0.5711053609848022	0.5711053609848022	0.42889463901519775	0.8431812524795532	0.2031521201133728	2.8361730575561523	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	BOTH_CORRECT	BOTH_CORRECT
12	you	10	13	Y UW	2	0.076923	1	0.57389897108078	0.57389897108078	0.42610102891921997	0.8488883972167969	0.08529120683670044	14.38010025024414	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	BOTH_CORRECT	BOTH_CORRECT
13	it	10	14	IH T	2	0.071429	1	0.5928670167922974	0.5928670167922974	0.40713298320770264	0.8879151940345764	0.11253076791763306	11.669576644897461	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	BOTH_CORRECT	BOTH_CORRECT
14	not	10	15	N AA T	3	0.066667	1	0.59278404712677	0.59278404712677	0.40721595287323	0.8877432942390442	0.04298311471939087	20.986717224121094	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	BOTH_CORRECT	BOTH_CORRECT
15	or	10	16	AO R	2	0.0625	1	0.5229406952857971	0.5229406952857971	0.4770593047142029	0.7459136247634888	0.053003787994384766	42.637451171875	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	BOTH_CORRECT	BOTH_CORRECT
16	be	10	17	B IY	2	0.058824	1	0.5488889217376709	0.5488889217376709	0.4511110782623291	0.7980912327766418	0.024736404418945312	42.987728118896484	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	BOTH_CORRECT	BOTH_CORRECT
17	are	10	18	AA R	2	0.055556	1	0.49309906363487244	0.49309906363487244	0.5069009363651276	0.6861972212791443	0.0333903431892395	59.048583984375	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	BOTH_CORRECT	BOTH_CORRECT
18	from	10	19	F R AH M	4	0.052632	1	0.5308783650398254	0.5308783650398254	0.46912163496017456	0.7618354558944702	0.17358309030532837	12.015886306762695	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	BOTH_CORRECT	BOTH_CORRECT
19	at	10	20	AE T	2	0.05	1	0.5206837058067322	0.5206837058067322	0.4793162941932678	0.7413910031318665	0.1293439269065857	8.617757797241211	1	AE T	1	AE T	1	AE T	1	AE T	1	AE T	1	AE T	1	AE T	1	AE T	BOTH_CORRECT	BOTH_CORRECT
20	as	10	21	AE Z	2	0.047619	1	0.5557724237442017	0.5557724237442017	0.44422757625579834	0.8120109438896179	0.0840839147567749	25.33907699584961	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	BOTH_CORRECT	BOTH_CORRECT
21	your	10	22	Y AO R	3	0.045455	1	0.5601153373718262	0.5601153373718262	0.43988466262817383	0.8208151459693909	0.06570619344711304	5.53267765045166	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	BOTH_CORRECT	BOTH_CORRECT
22	all	10	23	AO L	2	0.043478	1	0.5733097195625305	0.5733097195625305	0.4266902804374695	0.8476839065551758	0.07174313068389893	27.076961517333984	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	BOTH_CORRECT	BOTH_CORRECT
23	have	10	24	HH AE V	3	0.041667	1	0.5501430034637451	0.5501430034637451	0.4498569965362549	0.8006241917610168	0.017543792724609375	42.24232864379883	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	BOTH_CORRECT	BOTH_CORRECT
24	new	10	25	N UW	2	0.04	1	0.5552787780761719	0.5552787780761719	0.4447212219238281	0.8110113739967346	0.18085545301437378	3.548107147216797	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	BOTH_CORRECT	BOTH_CORRECT
25	more	10	26	M AO R	3	0.038462	1	0.5527387857437134	0.5527387857437134	0.4472612142562866	0.805871307849884	0.0019254088401794434	27.837678909301758	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	BOTH_CORRECT	BOTH_CORRECT
26	an	10	27	AE N	2	0.037037	1	0.537431001663208	0.537431001663208	0.462568998336792	0.7750023007392883	0.2248252034187317	3.8169240951538086	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	BOTH_CORRECT	BOTH_CORRECT
27	was	10	28	W AA Z	3	0.035714	1	0.5443904995918274	0.5443904995918274	0.4556095004081726	0.7890154123306274	0.15894156694412231	8.989117622375488	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	BOTH_CORRECT	BOTH_CORRECT
28	we	10	29	W IY	2	0.034483	1	0.5898428559303284	0.5898428559303284	0.41015714406967163	0.8816579580307007	0.10151463747024536	17.59323501586914	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	BOTH_CORRECT	BOTH_CORRECT
29	will	10	30	W IH L	3	0.033333	1	0.5724231600761414	0.5724231600761414	0.42757683992385864	0.8458722829818726	0.09972894191741943	9.0408935546875	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	BOTH_CORRECT	BOTH_CORRECT
30	home	10	31	HH OW M	3	0.032258	1	0.5513169169425964	0.5513169169425964	0.44868308305740356	0.8029964566230774	0.19391030073165894	5.071646690368652	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	BOTH_CORRECT	BOTH_CORRECT
31	can	10	32	K AE N	3	0.03125	1	0.5604106783866882	0.5604106783866882	0.43958932161331177	0.8214144110679626	0.0868714451789856	15.839720726013184	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	BOTH_CORRECT	BOTH_CORRECT
32	us	10	33	AH S	2	0.030303	1	0.5070267915725708	0.5070267915725708	0.4929732084274292	0.714054524898529	0.15270525217056274	16.297225952148438	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	BOTH_CORRECT	BOTH_CORRECT
33	about	10	34	AH B AW T	4	0.029412	1	0.5601525902748108	0.5601525902748108	0.4398474097251892	0.8208907246589661	0.22923696041107178	3.3332645893096924	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	BOTH_CORRECT	BOTH_CORRECT
34	if	10	35	IH F	2	0.028571	1	0.5815351009368896	0.5815351009368896	0.41846489906311035	0.8645392060279846	0.07774853706359863	18.219083786010742	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	BOTH_CORRECT	BOTH_CORRECT
35	page	10	36	P EY JH	3	0.027778	1	0.5737584829330444	0.5737584829330444	0.42624151706695557	0.8486011624336243	0.15147751569747925	1.5246793031692505	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	BOTH_CORRECT	BOTH_CORRECT
36	my	10	37	M AY	2	0.027027	1	0.5583627223968506	0.5583627223968506	0.4416372776031494	0.8172599077224731	0.1033332347869873	6.561923980712891	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	BOTH_CORRECT	BOTH_CORRECT
37	has	10	38	HH AE Z	3	0.026316	1	0.5463365912437439	0.5463365912437439	0.4536634087562561	0.7929397821426392	0.08280438184738159	18.47259521484375	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	BOTH_CORRECT	BOTH_CORRECT
38	search	10	39	S ER CH	3	0.025641	1	0.5872546434402466	0.5872546434402466	0.4127453565597534	0.8763137459754944	0.1401767134666443	1.4519991874694824	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	BOTH_CORRECT	BOTH_CORRECT
39	free	10	40	F R IY	3	0.025	1	0.5489830374717712	0.5489830374717712	0.45101696252822876	0.7982813119888306	0.2851874828338623	2.245274782180786	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	BOTH_CORRECT	BOTH_CORRECT
40	but	10	41	B AH T	3	0.02439	1	0.5842580199241638	0.5842580199241638	0.4157419800758362	0.8701388239860535	0.05518448352813721	28.426137924194336	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	BOTH_CORRECT	BOTH_CORRECT
41	our	10	42	AW ER	2	0.02381	1	0.5358767509460449	0.5358767509460449	0.4641232490539551	0.7718770503997803	0.10211777687072754	25.499189376831055	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	BOTH_CORRECT	BOTH_CORRECT
42	one	10	43	W AH N	3	0.023256	1	0.5740798115730286	0.5740798115730286	0.42592018842697144	0.8492581844329834	0.06131476163864136	13.165529251098633	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	BOTH_CORRECT	BOTH_CORRECT
43	other	10	44	AH DH ER	3	0.022727	1	0.5890284180641174	0.5890284180641174	0.41097158193588257	0.8799751996994019	0.09271836280822754	7.587098121643066	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	BOTH_CORRECT	BOTH_CORRECT
44	do	10	45	D UW	2	0.022222	1	0.5655724406242371	0.5655724406242371	0.43442755937576294	0.8319045901298523	0.051331281661987305	29.071256637573242	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	BOTH_CORRECT	BOTH_CORRECT
45	no	10	46	N OW	2	0.021739	1	0.5453611612319946	0.5453611612319946	0.45463883876800537	0.7909724712371826	0.04340076446533203	50.744956970214844	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	BOTH_CORRECT	BOTH_CORRECT
46	information	10	47	IH N F ER M EY SH AH N	9	0.021277	1	0.5884072780609131	0.5884072780609131	0.4115927219390869	0.8786925673484802	0.2357802391052246	1.3768900632858276	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	BOTH_CORRECT	BOTH_CORRECT
47	time	10	48	T AY M	3	0.020833	1	0.5759707093238831	0.5759707093238831	0.42402929067611694	0.8531271815299988	0.1273403763771057	12.21146297454834	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	BOTH_CORRECT	BOTH_CORRECT
