item_index	word	batch_dec_width	rank	target_phonemes	length	zipf_approx	is_word	gate	effective_ventral_weight	effective_dorsal_weight	lexical_confidence	lexical_margin	lexical_density	canonical_full_exact	canonical_full_predicted	canonical_wm_exact	canonical_wm_predicted	canonical_ltm_exact	canonical_ltm_predicted	canonical_fixed05_exact	canonical_fixed05_predicted	freear_full_exact	freear_full_predicted	freear_wm_exact	freear_wm_predicted	freear_ltm_exact	freear_ltm_predicted	freear_fixed05_exact	freear_fixed05_predicted	competence_category	competence_category_freear
0	the	10	1	DH AH	2	1.0	1	0.5559566617012024	0.5559566617012024	0.4440433382987976	0.8123841285705566	0.07384181022644043	20.77529525756836	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	BOTH_CORRECT	BOTH_CORRECT
1	of	10	2	AH V	2	0.5	1	0.5334216952323914	0.5334216952323914	0.46657830476760864	0.7669432759284973	0.10269486904144287	18.375452041625977	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	BOTH_CORRECT	BOTH_CORRECT
2	and	10	3	AH N D	3	0.333333	1	0.5524376034736633	0.5524376034736633	0.44756239652633667	0.8052622079849243	0.08243852853775024	10.601387023925781	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	BOTH_CORRECT	BOTH_CORRECT
3	to	10	4	T UW	2	0.25	1	0.5899415016174316	0.5899415016174316	0.41005849838256836	0.881861686706543	0.10969924926757812	10.471467971801758	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	BOTH_CORRECT	BOTH_CORRECT
4	in	10	5	IH N	2	0.2	1	0.49719732999801636	0.49719732999801636	0.5028026700019836	0.694394588470459	0.019568145275115967	87.528564453125	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	BOTH_CORRECT	BOTH_CORRECT
5	for	10	6	F AO R	3	0.166667	1	0.5245780944824219	0.5245780944824219	0.4754219055175781	0.7491958141326904	0.01639723777770996	87.68975067138672	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	BOTH_CORRECT	BOTH_CORRECT
6	is	10	7	IH Z	2	0.142857	1	0.5299565196037292	0.5299565196037292	0.47004348039627075	0.7599849104881287	0.04611515998840332	27.626827239990234	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	BOTH_CORRECT	BOTH_CORRECT
7	on	10	8	AA N	2	0.125	1	0.5184445381164551	0.5184445381164551	0.4815554618835449	0.7369057536125183	0.07541501522064209	34.6766357421875	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	BOTH_CORRECT	BOTH_CORRECT
8	that	10	9	DH AE T	3	0.111111	1	0.5798506140708923	0.5798506140708923	0.42014938592910767	0.8610800504684448	0.05649286508560181	24.753992080688477	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	BOTH_CORRECT	BOTH_CORRECT
9	by	10	10	B AY	2	0.1	1	0.47520750761032104	0.47520750761032104	0.524792492389679	0.6503742933273315	0.012691259384155273	134.0115966796875	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	BOTH_CORRECT	BOTH_CORRECT
10	this	10	11	DH IH S	3	0.090909	1	0.5898165702819824	0.5898165702819824	0.4101834297180176	0.881603479385376	0.131588876247406	10.240121841430664	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	BOTH_CORRECT	BOTH_CORRECT
11	with	10	12	W IH DH	3	0.083333	1	0.566048800945282	0.566048800945282	0.433951199054718	0.8328741788864136	0.22837597131729126	2.569802761077881	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	BOTH_CORRECT	BOTH_CORRECT
