item_index	word	batch_dec_width	rank	target_phonemes	length	zipf_approx	is_word	gate	effective_ventral_weight	effective_dorsal_weight	lexical_confidence	lexical_margin	lexical_density	canonical_full_exact	canonical_full_predicted	canonical_wm_exact	canonical_wm_predicted	canonical_ltm_exact	canonical_ltm_predicted	canonical_fixed05_exact	canonical_fixed05_predicted	freear_full_exact	freear_full_predicted	freear_wm_exact	freear_wm_predicted	freear_ltm_exact	freear_ltm_predicted	freear_fixed05_exact	freear_fixed05_predicted	competence_category	competence_category_freear
0	the	10	1	DH AH	2	1.0	1	0.5571833848953247	0.5571833848953247	0.4428166151046753	0.8148693442344666	0.07337218523025513	20.994251251220703	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	1	DH AH	BOTH_CORRECT	BOTH_CORRECT
1	of	10	2	AH V	2	0.5	1	0.5351027846336365	0.5351027846336365	0.4648972153663635	0.7703211903572083	0.10148817300796509	18.49239158630371	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	1	AH V	BOTH_CORRECT	BOTH_CORRECT
2	and	10	3	AH N D	3	0.333333	1	0.5536792278289795	0.5536792278289795	0.4463207721710205	0.807773768901825	0.08078980445861816	11.164838790893555	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	1	AH N D	BOTH_CORRECT	BOTH_CORRECT
3	to	10	4	T UW	2	0.25	1	0.5910873413085938	0.5910873413085938	0.40891265869140625	0.8842310905456543	0.11253589391708374	10.274639129638672	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	BOTH_CORRECT	BOTH_CORRECT
4	in	10	5	IH N	2	0.2	1	0.49968478083610535	0.49968478083610535	0.5003152191638947	0.699369490146637	0.018411576747894287	87.38551330566406	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	1	IH N	BOTH_CORRECT	BOTH_CORRECT
5	for	10	6	F AO R	3	0.166667	1	0.5263310670852661	0.5263310670852661	0.4736689329147339	0.7527108788490295	0.009566783905029297	88.41885375976562	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	1	F AO R	BOTH_CORRECT	BOTH_CORRECT
6	is	10	7	IH Z	2	0.142857	1	0.5294382572174072	0.5294382572174072	0.4705617427825928	0.7589446306228638	0.04048800468444824	29.981969833374023	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	1	IH Z	BOTH_CORRECT	BOTH_CORRECT
7	on	10	8	AA N	2	0.125	1	0.5189863443374634	0.5189863443374634	0.4810136556625366	0.7379909157752991	0.07376217842102051	35.30000686645508	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	1	AA N	BOTH_CORRECT	BOTH_CORRECT
8	that	10	9	DH AE T	3	0.111111	1	0.5833464860916138	0.5833464860916138	0.41665351390838623	0.8682631254196167	0.05582493543624878	23.356782913208008	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	1	DH AE T	BOTH_CORRECT	BOTH_CORRECT
9	by	10	10	B AY	2	0.1	1	0.48116227984428406	0.48116227984428406	0.5188377201557159	0.6623067259788513	0.00699925422668457	135.95668029785156	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	BOTH_CORRECT	BOTH_CORRECT
10	this	10	11	DH IH S	3	0.090909	1	0.5901244282722473	0.5901244282722473	0.4098755717277527	0.882239818572998	0.12417733669281006	11.010273933410645	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	1	DH IH S	BOTH_CORRECT	BOTH_CORRECT
11	with	10	12	W IH DH	3	0.083333	1	0.5681671500205994	0.5681671500205994	0.43183284997940063	0.8371884822845459	0.2246965765953064	2.6142702102661133	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	1	W IH DH	BOTH_CORRECT	BOTH_CORRECT
