kind	state_id	item_index	lexical_identity	target_phonology	in_C_population	C_contract_correct	retrieved_lexical_identity	retrieved_phonology	lexical_identity_correct	phonology_correct	S0_freear_exact_correct	S1_freear_predicted_phonology	S2_freear_exact_correct
NATIVE_FAIL_S2_CORRECT_S1_WRONG	W3_SRC	10415	babushka	B AH B UH SH K AH	1	0	russian	R AH SH AH N	0	0	0	R AH SH AH N	1
NATIVE_FAIL_S2_CORRECT_S1_WRONG	W3_SRC	22184	longmont	L AO NG M AA N T	1	0	chengdu	CH EH NG D UW	0	0	0	CH EH NG D UW	1
NATIVE_FAIL_S2_CORRECT_S1_WRONG	W3_SRC	27451	refugee	R EH F Y UW JH IY	1	0	refugees	R EH F Y UW JH IY Z	0	0	0	R EH F Y UW JH IY Z	1
NATIVE_FAIL_S2_CORRECT_S1_WRONG	W3_SRC	28898	serb	S ER B	1	0	kosovo	K OW S OW V OW	0	0	0	K OW S OW V OW	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	9	by	B AY	1	0	even	IY V IH N	0	0	1	IY V IH N	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	15	or	AO R	1	0	not	N AA T	0	0	1	N AA T	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	83	how	HH AW	1	0	what	W AH T	0	0	1	W AH T	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	126	buy	B AY	0	NA	even	IY V IH N	0	0	1	IY V IH N	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	484	september	S EH P T EH M B ER	1	0	october	AA K T OW B ER	0	0	1	AA K T OW B ER	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	486	say	S EY	1	0	do	D UW	0	0	1	D UW	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	509	april	EY P R AH L	1	0	july	JH UW L AY	0	0	1	JH UW L AY	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	813	third	TH ER D	1	0	second	S EH K AH N D	0	0	1	S EH K AH N D	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	837	far	F AA R	1	0	even	IY V IH N	0	0	1	IY V IH N	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	1085	six	S IH K S	1	0	nine	N AY N	0	0	1	N AY N	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	1112	tuesday	T UW Z D IY	1	0	monday	M AH N D IY	0	0	1	M AH N D IY	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	1157	wednesday	W EH N Z D IY	1	0	friday	F R AY D IY	0	0	1	F R AY D IY	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	1944	se	S EY	0	NA	do	D UW	0	0	1	D UW	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	1985	thousands	TH AW Z AH N D Z	1	0	hundreds	HH AH N D R AH D Z	0	0	1	HH AH N D R AH D Z	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	3404	happens	HH AE P AH N Z	1	0	happen	HH AE P AH N	0	0	1	HH AE P AH N	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	4293	anna	AE N AH	1	0	maria	M ER IY AH	0	0	1	M ER IY AH	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	4585	bi	B AY	0	NA	even	IY V IH N	0	0	1	IY V IH N	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	6843	forty	F AO R T IY	1	0	fifteen	F IH F T IY N	0	0	1	F IH F T IY N	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	6868	exams	IH G Z AE M Z	1	0	exam	IH G Z AE M	0	0	1	IH G Z AE M	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	7187	bahrain	B AA R EY N	1	0	oman	OW M AA N	0	0	1	OW M AA N	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	7522	bye	B AY	0	NA	even	IY V IH N	0	0	1	IY V IH N	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	8296	graduated	G R AE JH UW EY T IH D	1	0	graduate	G R AE JH AH W AH T	0	0	1	G R AE JH AH W AH T	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	13156	citroen	S IH T R OW N	1	0	peugeot	P Y UW ZH OW	0	0	1	P Y UW ZH OW	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	15222	distal	D IH S T AH L	1	0	posterior	P AO S T IH R Y ER	0	0	1	P AO S T IH R Y ER	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	15926	eighteen	EY T IY N	1	0	fourteen	F AO R T IY N	0	0	1	F AO R T IY N	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	17123	fishery	F IH SH ER IY	1	0	fisheries	F IH SH ER IY Z	0	0	1	F IH SH ER IY Z	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	18621	grin	G R IH N	1	0	smile	S M AY L	0	0	1	S M AY L	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	19767	howe	HH AW	0	NA	what	W AH T	0	0	1	W AH T	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	21196	kin	K IH N	1	0	chung	CH AH NG	0	0	1	CH AH NG	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	22701	mao	M AW	1	0	yu	Y UW	0	0	1	Y UW	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	23527	mitt	M IH T	1	0	romney	R AA M N IY	0	0	1	R AA M N IY	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	24565	oar	AO R	0	NA	not	N AA T	0	0	1	N AA T	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	24867	ore	AO R	0	NA	not	N AA T	0	0	1	N AA T	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	24901	orr	AO R	0	NA	not	N AA T	0	0	1	N AA T	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	25764	perot	P ER OW	1	0	candidate	K AE N D AH D EY T	0	0	1	K AE N D AH D EY T	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	25899	philippine	F IH L AH P IY N	1	0	philippines	F IH L AH P IY N Z	0	0	1	F IH L AH P IY N Z	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	26851	puck	P AH K	1	0	ball	B AO L	0	0	1	B AO L	1
NATIVE_CORRECT_S1_WRONG	W3_SRC	28473	saute	S AO T EY	1	0	eggplant	EH G P L AE N T	0	0	1	EH G P L AE N T	1
